nom,coordonnees,num_insee
Ambrief,Point(3.401388888 49.318888888),2012
Amifontaine,Point(3.918333333 49.483055555),2013
Amigny-Rouy,Point(3.304444444 49.61),2014
Ancienville,Point(3.214166666 49.216944444),2015
Andelain,Point(3.370277777 49.6425),2016
Anguilcourt-le-Sart,Point(3.4325 49.689166666),2017
Anizy-le-Grand,Point(3.45033 49.50603),2018
Annois,Point(3.1775 49.720833333),2019
Any-Martin-Rieux,Point(4.220833333 49.881111111),2020
Archon,Point(4.118333333 49.741388888),2021
Arcy-Sainte-Restitue,Point(3.464722222 49.252777777),2022
Armentières-sur-Ourcq,Point(3.386388888 49.1825),2023
Arrancy,Point(3.754444444 49.492222222),2024
Artemps,Point(3.19 49.765277777),2025
Assis-sur-Serre,Point(3.558611111 49.688333333),2027
Athies-sous-Laon,Point(3.683055555 49.573055555),2028
Attilly,Point(3.168611111 49.856666666),2029
Aubencheul-aux-Bois,Point(3.264722222 50.028611111),2030
Aubenton,Point(4.204722222 49.836666666),2031
Aubigny-aux-Kaisnes,Point(3.116666666 49.773611111),2032
Aubigny-en-Laonnois,Point(3.791111111 49.498055555),2033
Audignicourt,Point(3.133333333 49.478333333),2034
Audigny,Point(3.646944444 49.869722222),2035
Augy,Point(3.513611111 49.338055555),2036
Aulnois-sous-Laon,Point(3.6075 49.612222222),2037
Les Autels,Point(4.225 49.763611111),2038
Autremencourt,Point(3.786388888 49.704166666),2039
Autreppes,Point(3.855833333 49.903611111),2040
Autreville,Point(3.240277777 49.584722222),2041
Azy-sur-Marne,Point(3.366111111 49.001388888),2042
Bagneux,Point(3.278611111 49.4575),2043
Bancigny,Point(4.033611111 49.800555555),2044
Barenton-Bugny,Point(3.651388888 49.633055555),2046
Barenton-Cel,Point(3.652777777 49.6425),2047
Barenton-sur-Serre,Point(3.680277777 49.671388888),2048
Barisis-aux-Bois,Point(3.328055555 49.578611111),2049
Barzy-en-Thiérache,Point(3.746111111 50.043333333),2050
Barzy-sur-Marne,Point(3.559166666 49.080277777),2051
Bassoles-Aulers,Point(3.381111111 49.526111111),2052
Vallées en Champagne,Point(3.614722222 48.987777777),2053
Bazoches-sur-Vesles,Point(3.618611111 49.307222222),2054
Beaumé,Point(4.152222222 49.838055555),2055
Beaumont-en-Beine,Point(3.1325 49.6875),2056
Beaurevoir,Point(3.308888888 49.996388888),2057
Beaurieux,Point(3.736944444 49.392222222),2058
Beautor,Point(3.344722222 49.650833333),2059
Beauvois-en-Vermandois,Point(3.103611111 49.838888888),2060
Becquigny,Point(3.469722222 50.017222222),2061
Belleau,Point(3.293055555 49.083611111),2062
Bellenglise,Point(3.243333333 49.921944444),2063
Belleu,Point(3.335555555 49.358888888),2064
Bellicourt,Point(3.235833333 49.961111111),2065
Benay,Point(3.304722222 49.759444444),2066
Bergues-sur-Sambre,Point(3.705833333 50.033333333),2067
Berlancourt,Point(3.758055555 49.778611111),2068
Berlise,Point(4.107222222 49.663888888),2069
Bernot,Point(3.498611111 49.868888888),2070
Berny-Rivière,Point(3.14 49.406666666),2071
Berrieux,Point(3.848055555 49.487777777),2072
Berry-au-Bac,Point(3.901388888 49.403611111),2073
Bertaucourt-Epourdon,Point(3.388055555 49.626666666),2074
Berthenicourt,Point(3.381388888 49.771666666),2075
Bertricourt,Point(4.009166666 49.395),2076
Berzy-le-Sec,Point(3.312777777 49.333888888),2077
Besmé,Point(3.163611111 49.538333333),2078
Besmont,Point(4.121944444 49.837777777),2079
Besny-et-Loizy,Point(3.581666666 49.6),2080
Béthancourt-en-Vaux,Point(3.1475 49.628611111),2081
Beugneux,Point(3.414166666 49.234444444),2082
Beuvardes,Point(3.489444444 49.141944444),2083
Bézu-le-Guéry,Point(3.225 49.007777777),2084
Bézu-Saint-Germain,Point(3.409166666 49.108055555),2085
Bichancourt,Point(3.214722222 49.579444444),2086
Bieuxy,Point(3.261388888 49.446666666),2087
Bièvres,Point(3.711111111 49.493611111),2088
Billy-sur-Aisne,Point(3.383055555 49.356111111),2089
Billy-sur-Ourcq,Point(3.301666666 49.217777777),2090
Blanzy-lès-Fismes,Point(3.673055555 49.338333333),2091
Blérancourt,Point(3.150555555 49.516111111),2093
Blesmes,Point(3.450833333 49.037222222),2094
Bohain-en-Vermandois,Point(3.454722222 49.986388888),2095
Bois-lès-Pargny,Point(3.650555555 49.731388888),2096
Boncourt,Point(3.945277777 49.616388888),2097
Bonneil,Point(3.348611111 49.0075),2098
Bonnesvalyn,Point(3.316666666 49.121944444),2099
Bony,Point(3.222777777 49.988055555),2100
Bosmont-sur-Serre,Point(3.859444444 49.731666666),2101
Bouconville-Vauclair,Point(3.755555555 49.465555555),2102
Boué,Point(3.698611111 50.011944444),2103
Bouffignereux,Point(3.845277777 49.373611111),2104
Bouresches,Point(3.309444444 49.063611111),2105
Bourg-et-Comin,Point(3.654166666 49.396666666),2106
