nom,coordonnees,num_insee,dep
Saint-Bernard (Ain),Point(4.737222222 45.945),1339,1600
Sainte-Croix (Ain),Point(5.051944444 45.894166666),1342,1120
Saint-Cyr-sur-Menthon,Point(4.973055555 46.275555555),1343,1380
Saint-Denis-lès-Bourg,Point(5.192222222 46.199722222),1344,1000
Saint-Denis-en-Bugey,Point(5.329166666 45.951944444),1345,1500
Saint-Didier-d'Aussiat,Point(5.060833333 46.306388888),1346,1340
Saint-Didier-de-Formans,Point(4.780277777 45.956388888),1347,1600
Saint-Didier-sur-Chalaronne,Point(4.817777777 46.1775),1348,1140
Saint-Éloi (Ain),Point(5.152222222 45.933055555),1349,1800
Saint-Étienne-du-Bois (Ain),Point(5.293333333 46.288055555),1350,1370
Saint-Étienne-sur-Chalaronne,Point(4.866944444 46.146944444),1351,1140
Saint-Étienne-sur-Reyssouze,Point(5.000833333 46.413055555),1352,1190
Sainte-Euphémie (Ain),Point(4.798055555 45.972777777),1353,1600
Saint-Genis-Pouilly,Point(6.021388888 46.243333333),1354,1630
Saint-Genis-sur-Menthon,Point(5.008888888 46.282222222),1355,1380
Saint-Georges-sur-Renon,Point(5.031944444 46.105555555),1356,1400
Saint-Germain-de-Joux,Point(5.738333333 46.177777777),1357,1130
Saint-Germain-les-Paroisses,Point(5.618055555 45.773611111),1358,1300
Saint-Germain-sur-Renon,Point(5.0575 46.080555555),1359,1240
Saint-Jean-de-Gonville,Point(5.951944444 46.212777777),1360,1630
Saint-Jean-de-Niost,Point(5.218611111 45.84),1361,1800
Saint-Jean-de-Thurigneux,Point(4.882222222 45.952222222),1362,1390
Saint-Jean-le-Vieux (Ain),Point(5.389166666 46.028333333),1363,1640
Saint-Jean-sur-Reyssouze,Point(5.062777777 46.396111111),1364,1560
Saint-Jean-sur-Veyle,Point(4.915555555 46.258055555),1365,1290
Sainte-Julie (Ain),Point(5.278333333 45.89),1366,1150
Saint-Julien-sur-Reyssouze,Point(5.111388888 46.401666666),1367,1560
